Time,Mean SVM (g)
2023-05-09 10:21:05,0.642602
2023-05-09 10:21:10,0.589326
2023-05-09 10:21:15,0.550503
2023-05-09 10:21:20,0.538693
2023-05-09 10:21:25,0.554744
2023-05-09 10:21:30,0.522855
2023-05-09 10:21:35,0.499420
2023-05-09 10:21:40,0.538429
2023-05-09 10:21:45,0.495956
2023-05-09 10:21:50,0.538753
2023-05-09 10:21:55,0.551002
2023-05-09 10:22:00,0.546663
2023-05-09 10:22:05,0.632569
2023-05-09 10:22:10,0.530504
2023-05-09 10:22:15,0.522252
2023-05-09 10:22:20,0.480876
2023-05-09 10:22:25,0.525028
2023-05-09 10:22:30,0.478462
2023-05-09 10:22:35,0.490776
2023-05-09 10:22:40,0.492524
2023-05-09 10:22:45,0.511657
2023-05-09 10:22:50,0.519517
2023-05-09 10:22:55,0.527908
2023-05-09 10:23:00,0.506105
2023-05-09 10:23:05,0.540234
2023-05-09 10:23:10,0.534792
2023-05-09 10:23:15,0.569733
2023-05-09 10:23:20,0.543183
2023-05-09 10:23:25,0.522255
2023-05-09 10:23:30,0.536531
2023-05-09 10:23:35,0.595906
2023-05-09 10:23:40,0.551827
2023-05-09 10:23:45,0.536967
2023-05-09 10:23:50,0.524209
2023-05-09 10:23:55,0.546079
2023-05-09 10:24:00,0.601781
2023-05-09 10:24:05,0.632674
2023-05-09 10:24:10,0.592979
2023-05-09 10:24:15,0.546819
2023-05-09 10:24:20,0.508743
2023-05-09 10:24:25,0.548702
2023-05-09 10:24:30,0.552400
2023-05-09 10:24:35,0.557203
2023-05-09 10:24:40,0.660025
2023-05-09 10:24:45,0.695456
2023-05-09 10:24:50,0.662573
2023-05-09 10:24:55,0.599379
2023-05-09 10:25:00,0.794607
2023-05-09 10:25:05,0.696541
2023-05-09 10:25:10,0.677171
2023-05-09 10:25:15,0.578385
2023-05-09 10:25:20,0.562866
2023-05-09 10:25:25,0.484153
2023-05-09 10:25:30,0.479308
2023-05-09 10:25:35,0.542018
2023-05-09 10:25:40,0.569449
2023-05-09 10:25:45,0.495345
2023-05-09 10:25:50,0.434675
2023-05-09 10:25:55,0.427243
2023-05-09 10:26:00,0.751193
2023-05-09 10:26:05,0.960722
2023-05-09 10:26:10,0.991694
2023-05-09 10:26:15,1.021817
2023-05-09 10:26:20,0.883503
2023-05-09 10:26:25,1.240074
2023-05-09 10:26:30,0.943368
2023-05-09 10:26:35,0.822919
2023-05-09 10:26:40,0.971940
2023-05-09 10:26:45,1.097167
2023-05-09 10:26:50,1.142367
2023-05-09 10:26:55,1.145157
2023-05-09 10:27:00,0.237996
2023-05-09 10:27:05,0.715679
2023-05-09 10:27:10,0.712286
2023-05-09 10:27:15,0.684025
2023-05-09 10:27:20,0.666669
2023-05-09 10:27:25,0.648243
2023-05-09 10:27:30,0.623970
2023-05-09 10:27:35,0.650078
2023-05-09 10:27:40,0.672017
2023-05-09 10:27:45,0.680701
2023-05-09 10:27:50,0.645447
2023-05-09 10:27:55,0.669436
2023-05-09 10:28:00,0.602188
2023-05-09 10:28:05,0.702774
2023-05-09 10:28:10,0.657340
2023-05-09 10:28:15,0.707738
2023-05-09 10:28:20,0.711536
2023-05-09 10:28:25,0.747679
2023-05-09 10:28:30,0.705925
2023-05-09 10:28:35,0.696451
2023-05-09 10:28:40,0.635033
2023-05-09 10:28:45,0.688397
2023-05-09 10:28:50,0.656673
2023-05-09 10:28:55,0.692340
2023-05-09 10:29:00,0.659394
2023-05-09 10:29:05,0.671188
2023-05-09 10:29:10,0.680876
2023-05-09 10:29:15,0.652730
2023-05-09 10:29:20,0.692977
2023-05-09 10:29:25,0.620975
2023-05-09 10:29:30,0.692676
2023-05-09 10:29:35,0.637668
2023-05-09 10:29:40,0.682599
2023-05-09 10:29:45,0.701704
2023-05-09 10:29:50,0.681920
2023-05-09 10:29:55,0.655780
2023-05-09 10:30:00,0.680506
2023-05-09 10:30:05,0.673623
2023-05-09 10:30:10,0.667637
2023-05-09 10:30:15,0.649869
2023-05-09 10:30:20,0.667192
2023-05-09 10:30:25,0.728818
2023-05-09 10:30:30,0.735502
2023-05-09 10:30:35,0.776377
2023-05-09 10:30:40,0.762297
2023-05-09 10:30:45,0.709011
2023-05-09 10:30:50,0.799303
2023-05-09 10:30:55,0.725268
2023-05-09 10:31:00,0.023913
2023-05-09 10:31:05,0.068786
2023-05-09 10:31:10,0.085677
2023-05-09 10:31:15,0.073201
2023-05-09 10:31:20,0.240749
2023-05-09 10:31:25,0.114840
2023-05-09 10:31:30,0.055938
2023-05-09 10:31:35,0.096808
2023-05-09 10:31:40,0.063718
2023-05-09 10:31:45,0.069183
2023-05-09 10:31:50,0.051448
2023-05-09 10:31:55,0.019066
2023-05-09 10:32:00,0.015729
2023-05-09 10:32:05,0.029494
2023-05-09 10:32:10,0.030155
2023-05-09 10:32:15,0.036578
2023-05-09 10:32:20,0.081841
2023-05-09 10:32:25,0.111409
2023-05-09 10:32:30,0.025940
2023-05-09 10:32:35,0.033282
2023-05-09 10:32:40,0.030381
2023-05-09 10:32:45,0.049621
2023-05-09 10:32:50,0.068404
2023-05-09 10:32:55,0.031999
